rank,personName,age,finalWorth,category,countryOfCitizenship,organization,selfMade,gender,birthDate,title
552,Ronald Lauder,78,5000,Fashion & Retail,United States,,False,M,1944-02-26,
552,Marianne Liebmann,68,5000,Food & Beverage,United States,,False,F,1953-07-11,
552,Tobi Lutke,41,5000,Technology,Canada,,True,M,1980-07-16,
552,Thomas Pritzker,71,5000,Finance & Investments,United States,Hyatt Hotels,False,M,1950-06-06,Executive Chairman
552,Scott Shleifer,44,5000,Finance & Investments,United States,Tiger Global Management,True,M,1977-06-14,Investor
552,Autry Stephens,83,5000,Energy,United States,,True,M,1939-01-01,
552,Peter Thiel,54,5000,Finance & Investments,United States,Founders Fund,True,M,1967-10-11,Investor
552,Tsai Cheng-ta,72,5000,Finance & Investments,Taiwan,,False,M,1950-04-01,
552,Maximilian Viessmann,,5000,Manufacturing,Germany,,False,M,,
552,Hansjoerg Wyss,87,5000,Healthcare,Switzerland,,True,M,1935-01-01,
552,Xiao Yongming & family,57,5000,Diversified,China,,True,M,1964-07-01,
552,Zhang Tao,49,5000,Fashion & Retail,China,,True,M,1972-11-01,
552,Daniel Ziff,50,5000,Finance & Investments,United States,,False,M,1971-11-02,
552,Dirk Ziff,58,5000,Finance & Investments,United States,,False,M,1964-04-01,
552,Robert Ziff,55,5000,Finance & Investments,United States,,False,M,1966-08-12,
579,Kapil & Rahul Bhatia,,4900,Service,India,,True,M,,
579,Mat Ishbia,42,4900,Finance & Investments,United States,,False,M,1980-01-06,
579,Robert Rich; Jr.,81,4900,Food & Beverage,United States,,False,M,1941-01-25,
579,Thomas Schmidheiny,76,4900,Construction & Engineering,Switzerland,,False,M,1945-12-17,
579,Alexandra Schoerghuber & family,63,4900,Real Estate,Germany,,False,F,1958-07-24,
579,Erik Selin,54,4900,Real Estate,Sweden,,True,M,1967-05-08,Entrepreneur
579,Daniel Tsai,65,4900,Finance & Investments,Taiwan,,False,M,1956-04-25,
586,Dona Bertarelli,54,4800,Healthcare,Switzerland,,False,F,1968-01-01,
586,Andrei Guriev & family,62,4800,Manufacturing,Russia,,True,M,1960-03-24,
586,Luciano Hang,59,4800,Fashion & Retail,Brazil,,True,M,1962-10-11,
586,Hu Baifan,59,4800,Healthcare,China,,True,M,1962-10-01,
586,Bidzina Ivanishvili,66,4800,Finance & Investments,Georgia,,True,M,1956-02-18,
586,Yeow Chor & Yeow Seng Lee,,4800,Food & Beverage,Malaysia,,False,M,,
586,Leng Youbin,53,4800,Food & Beverage,China,,True,M,1969-01-01,
586,Theo Mueller,82,4800,Food & Beverage,Germany,,False,M,1940-01-30,Entrepreneur
586,Julian Robertson; Jr.,89,4800,Finance & Investments,United States,,True,M,1932-06-25,
586,Marc Rowan,59,4800,Finance & Investments,United States,,True,M,1962-08-19,
586,Emanuele (Lino) Saputo & family,85,4800,Food & Beverage,Canada,Saputo,False,M,1937-01-01,Chairman
586,Jeff Skoll,57,4800,Technology,United States,,True,M,1965-01-16,
586,Frank Wang,41,4800,Technology,China,DJI Technology Co.,True,M,1980-10-30,Entrepreneur
586,Wang Junlin,59,4800,Food & Beverage,China,,True,M,1962-09-01,
586,Yang Shaopeng,64,4800,Logistics,China,,True,M,1958-01-01,
601,Maria Fernanda Amorim & family,87,4700,Diversified,Portugal,,False,F,1935-01-16,
601,Leonid Boguslavsky,70,4700,Finance & Investments,Russia,,True,M,1951-06-17,
601,Richard Branson,71,4700,Diversified,United Kingdom,,True,M,1950-07-18,
601,Robert Brockman,80,4700,Technology,United States,,True,M,1941-05-28,
601,Pierre Chen,65,4700,Technology,Taiwan,,True,M,1956-09-28,Entrepreneur
601,Chu Mang Yee & family,62,4700,Real Estate,China,,True,M,1960-01-01,
601,Scott Cook,69,4700,Technology,United States,,True,M,1952-07-26,
601,Mark Cuban,63,4700,Media & Entertainment,United States,Dallas Mavericks,True,M,1958-07-31,Owner
601,Guenther Fielmann & family,82,4700,Healthcare,Germany,,True,M,1939-09-17,
601,Martin Haefner,68,4700,Technology,Switzerland,,False,M,1954-01-01,
601,Johnelle Hunt,90,4700,Logistics,United States,,True,F,1932-01-04,
601,Andre Koo; Sr.,54,4700,Finance & Investments,Taiwan,,False,M,1967-05-25,
601,Lai Meisong,51,4700,Logistics,China,,True,M,1971-01-01,
601,Richard Li,55,4700,Telecom,Hong Kong,,False,M,1966-11-08,
601,Mangal Prabhat Lodha,66,4700,Real Estate,India,,True,M,1955-12-01,
601,Igor Olenicoff,79,4700,Real Estate,United States,,True,M,1942-09-20,
601,Mark Shoen,71,4700,Automotive,United States,,False,M,1950-11-20,
601,Andrei Skoch & family,56,4700,Metals & Mining,Russia,,True,M,1966-01-30,
601,Fred Smith,77,4700,Logistics,United States,FedEx,True,M,1944-08-11,Chairman and CEO
601,Murat Ulker,63,4700,Food & Beverage,Turkey,,False,M,1959-03-23,
601,Yu Yong,61,4700,Finance & Investments,China,,True,M,1961-02-01,
622,Stéphane Bancel,49,4600,Healthcare,France,,True,M,1972-07-20,
622,Bubba Cathy,67,4600,Food & Beverage,United States,,False,M,1954-04-22,
622,Dan Cathy,69,4600,Food & Beverage,United States,,False,M,1953-03-01,
622,Trudy Cathy White,66,4600,Food & Beverage,United States,,False,F,1955-12-17,
622,Jason Chang,77,4600,Technology,Singapore,,True,M,1944-05-01,
622,Dagmar Dolby & family,80,4600,Technology,United States,,False,F,1941-06-28,
622,Bruce Flatt,56,4600,Finance & Investments,Canada,,True,M,1965-06-01,Investor
622,Masatoshi Ito,97,4600,Fashion & Retail,Japan,,True,M,1924-04-30,
622,Viatcheslav Kantor,68,4600,Manufacturing,Russia,,True,M,1953-09-08,
622,Min Kao & family,73,4600,Technology,United States,Garmin Corporation,True,M,1949-01-10,Chairman and CEO
622,Lin Xiucheng & family,66,4600,Technology,China,,True,M,1955-10-10,
622,Sami Mnaymneh,60,4600,Finance & Investments,United States,,True,M,1961-07-13,
622,Tony Tamer,64,4600,Finance & Investments,United States,,True,M,1957-10-12,
622,Richard White,67,4600,Technology,Australia,,True,M,1955-04-01,
622,Baoguo Zhu & family,59,4600,Healthcare,China,,True,M,1962-04-25,
637,Michael Ashley,57,4500,Fashion & Retail,United Kingdom,,True,M,1964-09-12,
637,Ron Baron,78,4500,Finance & Investments,United States,,True,M,1943-05-23,
637,Bert Beveridge,60,4500,Food & Beverage,United States,,True,M,1962-01-01,
637,Todd Boehly,48,4500,Finance & Investments,United States,,True,M,1973-09-20,
637,David Bonderman,79,4500,Finance & Investments,United States,,True,M,1942-11-27,
637,Guo Guangchang,55,4500,Diversified,China,,True,M,1967-02-16,
637,Daryl Katz,60,4500,Diversified,Canada,Rexall Health,True,M,1961-09-01,Chairman
637,Ted Lerner & family,96,4500,Real Estate,United States,,True,M,1925-10-15,
637,Falguni Nayar,59,4500,Fashion & Retail,India,Nykaa,True,F,1963-02-19,Founder & CEO
637,Trevor Rees-Jones,70,4500,Energy,United States,,True,M,1951-08-12,
637,J. Joe Ricketts & family,80,4500,Finance & Investments,United States,,True,M,1941-07-16,
637,Robert Rowling,68,4500,Service,United States,,False,M,1953-09-26,
637,Mark Stevens,62,4500,Finance & Investments,United States,,True,M,1960-02-17,
637,Gustav Magnar Witzoe,28,4500,Food & Beverage,Norway,,False,M,1993-04-22,
637,Xie Liangzhi & family,56,4500,Healthcare,China,,True,M,1966-01-01,
637,Yeung Kin-man,58,4500,Manufacturing,Hong Kong,,True,M,1964-04-01,
637,Zhang Hejun,,4500,Manufacturing,China,,True,M,,
654,Andrej Babis,67,4400,Food & Beverage,Czechia,,True,M,1954-09-02,
654,Giuseppe De'Longhi & family,82,4400,Fashion & Retail,Italy,,False,M,1939-04-24,
654,Barry Diller,80,4400,Media & Entertainment,United States,,True,M,1942-02-02,
654,Christian Haub,57,4400,Fashion & Retail,Germany,,False,M,1964-07-22,
654,Huang Li,58,4400,Technology,China,,True,M,1963-06-27,
654,Marian Ilitch,89,4400,Food & Beverage,United States,,True,F,1933-01-07,Entrepreneur
654,Suleiman Kerimov & family,56,4400,Finance & Investments,Russia,,True,M,1966-03-12,
654,Edwin Leong,70,4400,Real Estate,Hong Kong,,True,M,1951-12-04,
654,Lu Yiwen,35,4400,Fashion & Retail,China,,True,F,1987-01-01,
654,N.R. Narayana Murthy,75,4400,Technology,India,,True,M,1946-08-20,
654,Yang Jianliang & family,52,4400,Manufacturing,China,,True,M,1969-06-01,
665,Pyotr Aven,67,4300,Finance & Investments,Russia,,True,M,1955-03-16,
665,Joesley Batista,50,4300,Food & Beverage,Brazil,,False,M,1972-02-05,
665,Wesley Batista,49,4300,Food & Beverage,Brazil,,False,M,1972-12-08,
665,Margot Birmingham Perot,88,4300,Technology,United States,,False,F,1933-11-15,
665,Rick Caruso,63,4300,Real Estate,United States,,True,M,1959-01-07,
665,Jim Davis,62,4300,Service,United States,,True,M,1960-03-13,
665,Walter P.J. Droege,69,4300,Finance & Investments,Germany,,True,M,1952-11-25,
665,Dan Friedkin,57,4300,Automotive,United States,Gulf States Toyota,False,M,1965-02-27,owner and ceo
665,Gao Dekang & family,70,4300,Fashion & Retail,China,,True,M,1952-02-01,
665,Antti Herlin,65,4300,Manufacturing,Finland,,False,M,1956-11-14,
665,W. Herbert Hunt,93,4300,Energy,United States,,False,M,1929-03-06,Investor
665,Jason Jiang,49,4300,Media & Entertainment,China,,True,M,1973-01-01,
665,Rupert Johnson; Jr.,81,4300,Finance & Investments,United States,Franklin Resources,False,M,1940-08-10,Vice Chairman and Director
665,Vikram Lal & family,80,4300,Automotive,India,,False,M,1942-03-05,
665,Lam Wai-ying,,4300,Manufacturing,Hong Kong,Biel Crystal,True,F,,Chairman 
665,Chris Larsen,61,4300,Finance & Investments,United States,,True,M,1960-06-15,
665,Richard Schulze,81,4300,Fashion & Retail,United States,Best Buy,True,M,1941-01-02,Chairman
665,Paul Singer,77,4300,Finance & Investments,United States,Elliott Management,True,M,1944-08-22,Investor
665,Barry Sternlicht,61,4300,Finance & Investments,United States,,True,M,1960-11-27,
665,Su Hua,40,4300,Media & Entertainment,China,,True,M,1982-01-01,
665,Mark Walter,61,4300,Finance & Investments,United States,Guggenheim Partners LLC,True,M,1960-05-22,CEO
665,Ty Warner,77,4300,Real Estate,United States,,True,M,1944-09-03,
687,Rinat Akhmetov,55,4200,Metals & Mining,Ukraine,,True,M,1966-09-21,
687,Martin & Olivier Bouygues,,4200,Construction & Engineering,France,,False,M,,
687,Bernard Broermann,78,4200,Healthcare,Germany,,True,M,1943-11-22,
687,Mong-Koo Chung,84,4200,Automotive,South Korea,Hyundai Motor Co. Ltd.,False,M,1938-03-19,Chairman
687,Daniel D'Aniello,75,4200,Finance & Investments,United States,,True,M,1946-09-14,
687,Traudl Engelhorn & family,95,4200,Healthcare,Germany,,False,F,1927-01-21,
687,Piero Ferrari,76,4200,Automotive,Italy,,False,M,1945-05-22,
687,Carlo Fidani,67,4200,Real Estate,Canada,Orlando Corporation,False,M,1955-01-01,Chairman
687,Yakir Gabay,55,4200,Real Estate,Cyprus,,True,M,1966-04-13,
687,Jaime Gilinski Bacal,64,4200,Finance & Investments,Colombia,,False,M,1957-12-14,Investor
687,Bertil Hult,81,4200,Service,Sweden,,True,M,1941-02-10,
687,Martha Ingram & family,86,4200,Media & Entertainment,United States,Ingram Industries,False,F,1935-08-20,Former Chairman
687,Lee Yin Yee,70,4200,Manufacturing,China,,True,M,1952-01-01,
687,Daniel Loeb,60,4200,Finance & Investments,United States,Third Point,True,M,1961-12-18,Investor
687,Janice McNair,85,4200,Sports,United States,,False,F,1936-09-30,
687,Ajay Piramal,66,4200,Healthcare,India,,False,M,1955-08-03,
687,Lynsi Snyder,39,4200,Food & Beverage,United States,,False,F,1982-05-05,
687,Peter Spuhler,62,4200,Manufacturing,Switzerland,,True,M,1959-09-01,
687,Kerry Stokes,81,4200,Diversified,Australia,,True,M,1940-09-13,
687,Jon Stryker,63,4200,Healthcare,United States,,False,M,1958-05-03,
687,Vincent Viola,66,4200,Finance & Investments,United States,,True,M,1956-02-12,
687,Romesh T. Wadhwani,74,4200,Technology,United States,Symphony Technology Group,True,M,1947-08-25,Founder and Chairman
709,Juan Domingo Beckmann Legorreta & family,54,4100,Food & Beverage,Mexico,,False,M,1967-07-01,
709,Rafael Del Pino,63,4100,Construction & Engineering,Spain,,False,M,1958-07-18,
709,Sergey Dmitriev,56,4100,Technology,Russia,,True,M,1966-03-11,
709,Senapathy Gopalakrishnan,67,4100,Technology,India,,True,M,1955-04-05,
709,James Irving,94,4100,Diversified,Canada,,False,M,1928-03-20,
709,Lee Boo-jin,51,4100,Service,South Korea,Hotel Shilla,False,F,1970-10-06,President and CEO
709,Samuel Tak Lee,82,4100,Real Estate,Hong Kong,,False,M,1939-04-09,
709,Thai Lee,63,4100,Technology,United States,,True,F,1958-11-27,
709,Eric Lefkofsky,52,4100,Technology,United States,Groupon,True,M,1969-09-02,Chairman
709,Weiguo Li,57,4100,Manufacturing,China,,True,M,1965-01-01,
709,Ermirio Pereira de Moraes & family,89,4100,Diversified,Brazil,,False,M,1932-05-13,
709,Maria Helena Moraes Scripilliti & family,91,4100,Diversified,Brazil,,False,F,1930-09-20,
709,Augusto & Giorgio Perfetti,,4100,Food & Beverage,Italy,,False,M,,
709,Thomas Secunda,67,4100,Media & Entertainment,United States,,True,M,1954-06-23,
709,Shaul Shani,67,4100,Telecom,Israel,,True,M,1955-01-01,
709,E. Joe Shoen,72,4100,Automotive,United States,,False,M,1949-10-28,
709,Steven Udvar-Hazy,76,4100,Service,United States,Air Lease,True,M,1946-02-23,CEO and Chairman
709,Russ Weiner,51,4100,Food & Beverage,United States,,True,M,1970-05-05,
709,Guanjiang Wu & family,53,4100,Healthcare,China,,True,M,1968-12-21,
728,Anil Agarwal & family,68,4000,Metals & Mining,India,,True,M,1953-09-07,
728,Somphote Ahunai,54,4000,Energy,Thailand,,True,M,1967-06-01,
728,Patrizio Bertelli,76,4000,Fashion & Retail,Italy,,True,M,1946-01-01,
728,Rakesh Gangwal,68,4000,Service,United States,,True,M,1953-07-25,
728,Paul Gauselmann & family,87,4000,Gambling & Casinos,Germany,,True,M,1934-08-26,
728,Hao Hong,66,4000,Healthcare,United States,,True,M,1956-01-01,
728,He Xiaopeng,44,4000,Automotive,China,,True,M,1977-11-03,
728,Michael Herz,78,4000,Fashion & Retail,Germany,,False,M,1943-09-28,
728,Wolfgang Herz,71,4000,Fashion & Retail,Germany,,False,M,1951-01-01,
728,Arthur Irving,92,4000,Energy,Canada,,False,M,1930-01-01,
728,Victor Jacobsson,40,4000,Finance & Investments,Sweden,,True,M,1981-08-28,
728,Marc Ladreit de Lacharriere,81,4000,Finance & Investments,France,,True,M,1940-11-06,
728,Patrick Lee,80,4000,Manufacturing,Hong Kong,,True,M,1942-01-01,
728,Max Lytvyn,42,4000,Technology,Canada,,True,M,1980-01-01,
728,Gilles Martin,58,4000,Healthcare,France,,True,M,1963-10-20,
728,Ramzi Musallam,53,4000,Finance & Investments,United States,,True,M,1968-09-17,
728,Georg Nemetschek & family,88,4000,Technology,Germany,,True,M,1934-01-01,
728,Akio Nitori,78,4000,Fashion & Retail,Japan,,True,M,1944-03-05,
728,Daniel Och,61,4000,Finance & Investments,United States,Och-Ziff Capital Management,True,M,1961-01-27,Founder
728,Pankaj Patel,69,4000,Healthcare,India,,False,M,1953-03-19,
728,John Paulson,66,4000,Finance & Investments,United States,Paulson & Co. Inc.,True,M,1955-12-14,Founder
728,Miuccia Prada,72,4000,Fashion & Retail,Italy,Prada,False,F,1949-05-10,CEO; Fashion Designer
728,Jean (Gigi) Pritzker,59,4000,Service,United States,,False,F,1962-07-01,
728,Juan Roig,72,4000,Fashion & Retail,Spain,,False,M,1949-10-08,
728,David Rubenstein,72,4000,Finance & Investments,United States,Carlyle Group,True,M,1949-08-11,Co-Chief Executive Officer and Co-founder
728,Howard Schultz,68,4000,Food & Beverage,United States,,True,M,1953-07-19,
728,Alex Shevchenko,42,4000,Technology,Canada,,True,M,1980-01-01,
728,Dan Snyder,57,4000,Sports,United States,,True,M,1964-11-23,
728,Jerzy Starak,74,4000,Healthcare,Poland,,True,M,1947-12-12,
728,Udo & Harald Tschira,,4000,Technology,Germany,,False,M,,
728,Kelcy Warren,66,4000,Energy,United States,,True,M,1955-11-09,
728,Herbert Wertheim,82,4000,Finance & Investments,United States,,True,M,1939-05-23,
728,Cameron Winklevoss,40,4000,Finance & Investments,United States,,True,M,1981-08-21,
728,Tyler Winklevoss,40,4000,Finance & Investments,United States,,True,M,1981-08-21,
728,Denise York & family,71,4000,Sports,United States,San Francisco 49ers,False,F,1950-10-21,Co-Chairman
728,Zhao Lixin,56,4000,Technology,China,,True,M,1966-01-01,
764,Hubert Burda,82,3900,Media & Entertainment,Germany,,False,M,1940-02-09,
764,Francesco Gaetano Caltagirone,79,3900,Construction & Engineering,Italy,,True,M,1943-03-21,
764,Marcos Galperin,,3900,Technology,Argentina,,True,M,,
764,Li Xiang,40,3900,Automotive,China,,True,M,1981-10-01,
764,Stephen Mandel; Jr.,66,3900,Finance & Investments,United States,Lone Pine Capital,True,M,1956-03-12,Founder
764,Gabe Newell,59,3900,Gambling & Casinos,United States,Valve Corporation,True,M,1962-11-03,Cofounder and CEO
764,Maja Oeri,67,3900,Healthcare,Switzerland,,False,F,1955-01-01,
764,Paolo & Gianfelice Mario Rocca,,3900,Metals & Mining,Italy,,False,M,,
764,Neil Shen,54,3900,Finance & Investments,China,Sequoia China,True,M,1967-12-16,Entrepreneur; Investor
764,Helmut Sohmen,82,3900,Logistics,Austria,,False,M,1939-12-10,
764,Donald Sterling,87,3900,Real Estate,United States,,True,M,1934-04-26,
764,Don Vultaggio & family,70,3900,Food & Beverage,United States,,True,M,1952-02-26,
764,Yiling Wu,72,3900,Healthcare,China,,True,M,1949-10-24,Entrepreneur
764,Gongshan Zhu,64,3900,Manufacturing,China,,True,M,1958-01-01,
778,Gayle Benson,75,3800,Sports,United States,,False,F,1947-01-26,
778,William Conway; Jr.,72,3800,Finance & Investments,United States,Carlyle Group,True,M,1949-08-27,Co-Chief Executive Officer and Co-founder
778,Gurbachan Singh Dhingra,71,3800,Manufacturing,India,,True,M,1950-04-09,
778,Kuldip Singh Dhingra,74,3800,Manufacturing,India,,True,M,1947-09-02,
778,Luca Garavoglia,53,3800,Food & Beverage,Italy,,False,M,1969-02-27,
778,Vinod & Anil Rai Gupta,,3800,Manufacturing,India,,False,,,
778,Jimmy Haslam,68,3800,Fashion & Retail,United States,Pilot Company,False,M,1954-03-09,CEO
778,Susan Carol Holland,65,3800,Manufacturing,Italy,,False,F,1956-05-27,
778,Timur Kulibaev,55,3800,Finance & Investments,Kazakhstan,,True,M,1966-09-10,
778,Dinara Kulibaeva,54,3800,Finance & Investments,Kazakhstan,,False,F,1967-08-19,
778,Michel Leclercq & family,82,3800,Fashion & Retail,France,,False,M,1939-05-27,
778,Pablo Legorreta,58,3800,Finance & Investments,United States,,True,M,1963-10-30,
778,Margarita Louis-Dreyfus & family,59,3800,Food & Beverage,Switzerland,Louis Dreyfus SAS,False,F,1962-06-01,President
778,Michael Milken,75,3800,Finance & Investments,United States,,True,M,1946-07-04,
778,Denis O'Brien,63,3800,Telecom,Ireland,,True,M,1958-04-17,
778,Katharina Otto-Bernstein,58,3800,Real Estate,Germany,,False,F,1964-01-01,
778,James Packer,54,3800,Gambling & Casinos,Australia,,False,M,1967-09-08,
778,Sergio Stevanato & family,79,3800,Healthcare,Italy,,True,M,1943-03-20,
778,Leena Tewari,64,3800,Healthcare,India,,False,F,1957-09-03,
778,Yitzhak Tshuva,73,3800,Real Estate,Israel,,True,M,1948-07-07,
778,Paul-Heinz Wesjohann & family,78,3800,Food & Beverage,Germany,,True,M,1943-05-25,
778,Zeng Fangqin,56,3800,Technology,China,,True,F,1965-12-25,
778,Zhou Bajin,86,3800,Manufacturing,China,,True,M,1935-05-01,
801,William Berkley,75,3700,Finance & Investments,United States,WR Berkley,True,M,1946-09-01,Chairman and CEO
801,John Catsimatidis,73,3700,Energy,United States,,True,M,1948-09-07,
801,Che Jianxing,55,3700,Fashion & Retail,China,,True,M,1966-07-18,
801,Gustavo Denegri,85,3700,Healthcare,Italy,,True,M,1937-03-17,
801,Charles Edelstenne,84,3700,Manufacturing,France,,True,M,1938-01-03,
801,Reed Hastings,61,3700,Media & Entertainment,United States,Netflix,True,M,1960-10-08,CEO
801,Amos Hostetter; Jr.,85,3700,Media & Entertainment,United States,Pilot House Associates,True,M,1937-01-12,Chair
801,Brad Jacobs,65,3700,Logistics,United States,,True,M,1956-07-01,
801,Friedrich Knapp,70,3700,Fashion & Retail,Germany,,True,M,1951-05-06,
801,William Lauder,61,3700,Fashion & Retail,United States,,False,M,1960-04-11,
801,Richard LeFrak & family,76,3700,Real Estate,United States,,False,M,1945-08-29,
801,Li Guoqiang,58,3700,Automotive,China,,True,M,1964-01-01,
801,Low Tuck Kwong,73,3700,Energy,Indonesia,,True,M,1948-04-17,
801,Akira Mori & family,85,3700,Real Estate,Japan,,False,M,1936-07-12,
801,Anthony Pritzker,61,3700,Service,United States,,False,M,1961-01-07,
801,Ira Rennert,87,3700,Finance & Investments,United States,,True,M,1934-05-31,
801,Bernard Saul; II.,89,3700,Finance & Investments,United States,Saul Centers Inc.,False,M,1932-04-15,Chairman and CEO
801,Shi Yonghong & family,53,3700,Food & Beverage,China,,True,M,1969-01-01,
801,Song Chi-hyung,43,3700,Finance & Investments,South Korea,,True,M,1979-01-01,
801,Steven Spielberg,75,3700,Media & Entertainment,United States,,True,M,1946-12-18,
801,Wong Luen Hei,60,3700,Manufacturing,China,,True,M,1962-01-01,
822,Danielle Bellon & family,82,3600,Service,France,,False,F,1940-02-08,
822,Byju Raveendran and Divya Gokulnath,40,3600,Technology,India,,True,,1981-07-06,
822,Cho Tak Wong,75,3600,Manufacturing,Hong Kong,,True,M,1946-05-15,
822,Charles Cohen,70,3600,Real Estate,United States,,False,M,1952-02-08,
822,Kenneth Dart,66,3600,Finance & Investments,Belize,,False,M,1955-04-21,
822,Martin Ebner,76,3600,Finance & Investments,Switzerland,,True,M,1945-08-01,
822,David Filo,55,3600,Technology,United States,Yahoo!,True,M,1966-04-15,Entrepreneur
822,Miguel Fluxa Rossello,83,3600,Service,Spain,,False,M,1938-07-27,
822,John Henry,72,3600,Sports,United States,,True,M,1949-09-13,
822,Hu Kaijun,60,3600,Healthcare,China,,True,M,1962-01-01,
822,Peter Kellogg,79,3600,Finance & Investments,United States,,False,M,1942-09-01,
822,James Leprino,84,3600,Food & Beverage,United States,Leprino Foods,False,M,1937-11-22,Chairman
822,Iskander Makhmudov,58,3600,Metals & Mining,Russia,,True,M,1963-12-05,
822,Daniel Mate,58,3600,Metals & Mining,Spain,,True,M,1963-06-02,
822,Aristotelis Mistakidis,60,3600,Metals & Mining,Greece,,True,M,1961-11-21,
822,Arturo Moreno,75,3600,Sports,United States,,True,M,1946-08-14,
822,Nan Cunhui,58,3600,Manufacturing,China,,True,M,1963-07-09,
822,Julio Ponce Lerou,76,3600,Metals & Mining,Chile,,True,M,1945-11-13,
822,J.B. Pritzker,57,3600,Finance & Investments,United States,,False,M,1965-01-19,
822,Chandru Raheja,81,3600,Real Estate,India,,False,M,1940-10-01,
822,Rodger Riney & family,76,3600,Finance & Investments,United States,Scottrade; Inc.,True,M,1946-01-01,Cofounder
822,Shi Yuzhu,59,3600,Diversified,China,,True,M,1962-09-01,
822,Zuowen Song,75,3600,Diversified,China,,True,M,1947-03-19,
822,Jerry Speyer,81,3600,Real Estate,United States,,True,M,1940-06-23,
822,Julia Thiele-Schuerhoff,50,3600,Manufacturing,Germany,,False,F,1972-01-01,
822,Tung Chee Chen,79,3600,Logistics,Hong Kong,,False,M,1942-12-15,
822,Roger Wang,73,3600,Fashion & Retail,United States,,True,M,1949-01-01,
822,Wu Shaoxun,66,3600,Food & Beverage,China,,True,M,1956-01-01,
822,Wenzhong Zhang,60,3600,Fashion & Retail,China,,True,M,1962-01-01,
851,Chen Kaixuan,63,3500,Manufacturing,China,,True,M,1958-05-01,
851,Beatriz Davila de Santo Domingo,83,3500,Food & Beverage,Colombia,,False,F,1939-03-07,
851,Antonio Del Valle Ruiz & family,83,3500,Manufacturing,Mexico,,True,M,1938-08-13,
851,Carl Douglas,60,3500,Diversified,Sweden,,False,M,1961-05-05,
851,Eric Douglas,53,3500,Diversified,Sweden,,False,M,1968-05-01,
851,Jiangtao Du & family,52,3500,Manufacturing,China,,True,M,1969-11-17,
851,Juan Carlos Escotet,62,3500,Finance & Investments,Venezuela,,True,M,1959-07-23,
851,Fiona Geminder,57,3500,Manufacturing,Australia,,False,F,1964-12-01,
851,Yuhua Gu & family,72,3500,Manufacturing,China,,True,M,1949-10-05,
851,James Irsay,62,3500,Sports,United States,Indianapolis Colts,False,M,1959-06-13,CEO
851,Kuok Khoon Hong,72,3500,Manufacturing,Singapore,,False,M,1950-01-01,
851,Aerin Lauder,51,3500,Fashion & Retail,United States,,False,F,1970-04-23,
851,Lee Seo-hyun,48,3500,Diversified,South Korea,Samsung C&T Corp.,False,F,1973-09-20,
851,Li Yongxin & family,46,3500,Service,China,,True,M,1976-03-09,
851,Jeffrey Lurie,70,3500,Sports,United States,,False,M,1951-09-08,
851,Mary Alice Dorrance Malone,72,3500,Food & Beverage,United States,,False,F,1950-02-03,
851,Ronald McAulay,86,3500,Energy,Hong Kong,,False,M,1935-10-05,
851,Apoorva Mehta,35,3500,Technology,Canada,Instacart,True,M,1986-07-19,Founder
851,Arnon Milchan,77,3500,Media & Entertainment,Israel,,True,M,1944-12-06,
851,Masahiro Noda,83,3500,Technology,Japan,,True,M,1938-08-24,
851,Maren Otto,,3500,Diversified,Germany,,False,F,,
851,Renzo Rosso & family,66,3500,Fashion & Retail,Italy,,True,M,1955-09-15,Entrepreneur
851,Lynn Schusterman,83,3500,Energy,United States,,False,F,1939-01-21,
851,Gil Shwed,53,3500,Technology,Israel,,True,M,1968-06-12,
851,Thomas Siebel,69,3500,Technology,United States,,True,M,1952-11-22,
851,Herb Simon,87,3500,Real Estate,United States,Simon Property Group,True,M,1934-10-23,Chairman Emeritus of the Board of Simon Property Group; Inc.
851,Friede Springer,79,3500,Media & Entertainment,Germany,,False,F,1942-08-15,
851,Wang Zhenhua,60,3500,Real Estate,China,,True,M,1962-03-01,
851,Hans Peter Wild,80,3500,Food & Beverage,Switzerland,,False,M,1941-06-16,
851,William Wrigley; Jr.,58,3500,Food & Beverage,United States,Wrigley Management; Inc.,False,M,1963-11-01,Investor
851,Xia Zuoquan,60,3500,Automotive,China,,True,M,1962-01-01,
851,Xue Hua,52,3500,Manufacturing,China,,True,M,,
883,Mohed Altrad,74,3400,Construction & Engineering,France,,True,M,1948-03-09,
883,Sid Bass,79,3400,Energy,United States,,False,M,1942-04-09,
883,Nick Caporella,86,3400,Food & Beverage,United States,,True,M,1936-01-15,
883,Cheng Yixiao,38,3400,Media & Entertainment,China,,True,M,1984-01-01,
883,Wesley Edens,60,3400,Finance & Investments,United States,,True,M,1961-10-31,
883,Behdad Eghbali,45,3400,Finance & Investments,United States,,True,M,1976-05-06,
883,Archie Aldis Emmerson & family,92,3400,Manufacturing,United States,,True,M,1929-04-10,
883,Jose E. Feliciano,48,3400,Finance & Investments,United States,,True,M,1973-05-29,
883,Fu Liquan & family,54,3400,Technology,China,,True,M,1967-08-01,
883,David Gottesman,95,3400,Finance & Investments,United States,First Manhattan Co.,True,M,1926-04-26,Chief Executive Officer
883,Laurence Graff & family,83,3400,Fashion & Retail,United Kingdom,,True,M,1938-06-13,
883,Jeff T. Green,45,3400,Media & Entertainment,United States,,True,M,1977-03-30,
883,Jim Kavanaugh,59,3400,Technology,United States,,True,M,1962-10-17,
